pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,pH
6.87,1.19,0.483,61.2,11.8,4.2,30.0,6.87
6.55,1.12,0.344,53.7,10.4,4.5,34.0,6.55
7.36,1.27,0.295,58.3,10.4,4.2,31.0,7.36
6.955,1.195,0.3195,56.0,10.4,4.35,32.5,6.955
7.2,1.21,0.701,58.8,10.9,4.4,40.0,7.2
6.68,1.22,0.432,60.0,11.2,4.1,41.0,6.68
6.9399999999999995,1.2149999999999999,0.5665,59.4,11.05,4.25,40.5,6.9399999999999995
7.29,1.35,0.415,60.1,11.1,4.6,41.0,7.29
7.84,1.12,0.31,58.2,11.0,4.5,31.0,7.84
7.68,1.25,0.504,55.0,11.2,4.0,46.0,7.68
7.76,1.185,0.40700000000000003,56.6,11.1,4.25,38.5,7.76
7.43,1.25,0.617,60.9,10.6,3.7,44.0,7.43
7.58,1.29,0.44,59.3,10.2,3.6,41.0,7.58
7.56,1.22,0.43,54.6,11.1,3.6,43.0,7.56
7.33,1.22,0.292,56.6,10.2,3.9,37.0,7.33
6.28,1.21,0.274,61.1,12.3,3.9,0.0,6.28
7.02,1.189,0.266,62.0,11.6,3.8,31.0,7.02
6.65,1.1995,0.27,61.55,11.95,3.8499999999999996,15.5,6.65
7.93,1.3,0.233,61.4,11.9,3.5,42.0,7.93
7.36,1.25,0.3,60.0,10.4,3.5,54.0,7.36
7.58,1.2,0.231,60.2,11.8,3.6,36.0,7.58
7.07,1.23,0.354,59.6,11.2,3.4,31.0,7.07
6.89,1.25,0.223,57.2,11.3,3.2,28.0,6.89
6.72,1.32,0.373,52.6,10.1,3.0,35.0,6.72
6.805,1.2850000000000001,0.298,54.900000000000006,10.7,3.1,31.5,6.805
6.27,1.15,0.589,51.3,6.2,3.8,30.0,6.27
6.91,0.96,0.402,63.6,11.8,3.8,33.0,6.91
7.22,1.24,0.244,64.9,10.4,3.7,33.0,7.22
7.36,1.11,0.176,62.8,14.8,3.7,9.0,7.36
6.96,1.14,0.169,63.6,11.8,3.7,35.0,6.96
7.75,1.17,0.146,65.4,11.6,4.0,37.0,7.75
7.355,1.1549999999999998,0.1575,64.5,11.7,3.85,36.0,7.355
7.04,1.25,0.26,62.5,13.4,3.8,39.0,7.04
6.74,1.11,0.176,63.2,14.8,3.7,43.0,6.74
6.890000000000001,1.16,0.218,62.85,14.100000000000001,3.75,41.0,6.890000000000001
6.815,1.2,0.197,63.025000000000006,14.450000000000001,3.725,42.0,6.815
6.69,1.22,0.26,53.8,12.8,4.0,36.0,6.69
6.96,1.25,0.441,64.6,12.6,4.3,37.0,6.96
6.825,1.2,0.35050000000000003,59.199999999999996,12.7,4.15,36.5,6.825
6.75,1.34,0.302,60.2,11.7,4.3,32.0,6.75
6.86,1.21,0.187,66.4,10.9,4.0,35.0,6.86
7.21,1.28,0.131,68.2,15.7,4.3,31.0,7.21
7.31,1.19,0.153,67.4,15.1,4.1,34.0,7.31
7.37,1.23,0.142,70.6,14.9,4.8,43.0,7.37
6.47,1.41,0.32,67.1,12.6,4.5,34.0,6.47
6.92,1.3199999999999998,0.23099999999999998,68.85,13.75,4.65,38.5,6.92
6.6,1.15,0.248,70.2,14.8,4.4,41.0,6.6
8.77,1.15,0.198,60.2,14.3,4.2,38.0,8.77
7.53,1.21,0.758,60.5,13.9,5.1,45.0,7.53
7.37,1.29,0.214,56.4,11.8,5.2,42.0,7.37
7.34,1.23,0.29,59.2,9.8,5.0,41.0,7.34
7.44,1.27,0.185,60.0,10.1,5.1,42.0,7.44
7.390000000000001,1.32,0.2375,59.6,9.95,5.05,41.5,7.390000000000001
7.72,1.55,0.249,55.0,10.7,5.2,42.0,7.72
7.11,1.48,0.35,58.8,11.7,5.4,38.0,7.11
7.03,1.53,0.367,54.6,11.3,4.6,36.0,7.03
7.26,1.6,0.308,56.8,11.6,4.5,36.0,7.26
7.54,1.31,0.115,57.4,11.8,5.0,34.0,7.54
6.55,1.23,0.35,47.1,5.7,4.65,37.0,6.55
7.045,1.15,0.23249999999999998,47.2,8.75,4.9,35.5,7.045
6.01,1.3,0.554,47.0,7.1,4.4,44.0,6.01
7.49,1.28,0.435,47.4,9.8,5.4,43.0,7.49
7.24,1.23,0.339,50.3,8.2,5.4,31.0,7.24
7.55,1.31,0.304,50.8,8.9,5.5,36.0,7.55
7.59,1.32,0.279,54.2,9.6,5.6,30.0,7.59
7.49,1.22,0.256,46.0,11.7,7.7,47.0,7.49
7.54,1.27,0.2675,50.1,10.649999999999999,6.65,38.5,7.54
6.47,1.42,0.268,35.3,11.174999999999999,7.6,35.0,6.47
6.36,1.33,0.058,39.6,10.912499999999998,7.4,33.0,6.36
7.54,1.39,0.305,47.2,6.0,8.4,41.0,7.54
7.53,1.36,0.306,50.4,10.4,8.8,48.0,7.53
7.64,1.28,0.381,44.2,9.6,6.9,46.0,7.64
7.48,1.35,0.238,46.0,7.4,7.0,42.0,7.48
7.5600000000000005,1.315,0.3095,45.1,8.5,6.95,44.0,7.5600000000000005
7.64,1.3,0.475,49.1,6.9,7.4,40.0,7.64
7.4,1.17,0.241,44.3,5.9,8.0,34.0,7.4
7.4,1.25,0.267,43.4,3.3,6.7,33.0,7.4
7.34,1.25,0.242,43.6,3.6,6.9,42.0,7.34
7.34,0.99,0.125,50.1,6.6,7.2,37.0,7.34
7.63,1.15,0.085,49.6,8.7,7.4,38.0,7.63
7.484999999999999,1.11,0.10500000000000001,49.85,7.6499999999999995,7.300000000000001,37.5,7.484999999999999
7.19,1.17,0.145,46.4,6.8,8.5,39.0,7.19
6.78,1.16,0.083,48.4,7.0,7.9,37.0,6.78
7.02,1.11,0.141,50.2,8.3,8.4,43.0,7.02
7.16,1.24,0.273,43.4,8.7,8.6,41.0,7.16
7.17,1.38,0.098,47.6,9.2,8.7,43.0,7.17
6.82,1.29,0.097,51.2,9.0,8.5,44.0,6.82
6.995,1.2,0.0975,49.400000000000006,9.1,8.6,43.5,6.995
6.907500000000001,1.32,0.09725,50.300000000000004,9.05,8.55,43.75,6.907500000000001
7.28,1.34,0.083,51.0,8.7,8.0,49.0,7.28
7.5,1.31,0.139,48.4,7.8,8.3,40.0,7.5
6.72,1.26,0.761,49.0,8.7,9.0,31.0,6.72
7.39,1.21,0.216,48.4,7.8,9.0,28.0,7.39
7.9,1.26,0.112,50.8,7.1,9.2,41.0,7.9
7.645,1.2,0.164,49.599999999999994,7.449999999999999,9.1,34.5,7.645
7.59,1.13,0.121,48.7,8.9,9.9,37.0,7.59
7.63,1.29,0.104,50.1,8.9,1.02,33.0,7.63
7.68,1.2,0.11,49.2,7.3,10.0,53.0,7.68
7.41,1.05,0.132,46.0,7.3,9.9,37.0,7.41
7.63,1.23,0.101,46.9,8.4,10.0,48.0,7.63
6.89,1.26,0.118,49.6,8.1,9.2,53.0,6.89
7.26,1.16,0.1095,48.25,8.25,9.6,50.5,7.26
7.06,1.09,0.105,49.2,8.1,9.1,31.0,7.06
7.22,1.33,0.318,48.6,7.9,9.1,39.0,7.22
7.23,1.4,0.142,53.3,9.2,9.8,40.0,7.23
7.25,1.42,0.126,55.0,9.7,9.9,46.0,7.25
7.1,1.48,0.109,55.1,11.1,10.8,30.0,7.1
7.21,1.54,0.112,53.4,8.6,10.5,38.0,7.21
7.154999999999999,1.33,0.1105,54.25,9.85,10.65,34.0,7.154999999999999
6.89,1.45,0.119,52.8,8.2,10.4,36.0,6.89
7.69,1.21,0.137,54.9,9.024999999999999,9.9,35.0,7.69
7.48,1.06,0.172,56.0,10.9,11.1,42.0,7.48
7.38,1.07,0.207,54.2,9.7,11.1,42.0,7.38
7.44,1.26,0.113,55.8,10.8,11.7,32.0,7.44
6.47,1.25,0.138,57.7,10.3,12.3,39.0,6.47
6.955,1.21,0.1255,56.75,10.55,12.0,35.5,6.955
7.51,1.16,0.311,54.9,12.1,12.8,29.0,7.51
7.13,1.19,0.11,59.8,9.8,13.4,39.0,7.13
7.18,1.82,0.168,60.2,7.4,12.6,39.0,7.18
7.16,1.35,0.144,42.6,7.8,13.0,38.0,7.16
7.4,1.11,0.189,55.4,9.9,12.0,34.0,7.4
6.58,1.08,0.235,62.4,11.3,12.2,51.0,6.58
6.99,1.06,0.212,58.9,10.600000000000001,12.1,42.5,6.99
7.08,1.26,0.233,60.8,11.5,12.9,38.0,7.08
7.46,1.22,0.344,61.0,10.4,12.8,36.0,7.46
7.52,1.12,0.402,64.4,12.6,12.9,39.0,7.52
7.18,1.17,0.319,65.2,12.9,13.6,39.0,7.18
7.1,1.21,0.276,65.2,13.0,13.6,39.0,7.1
7.2,1.15,0.224,60.1,9.6,13.7,44.0,7.2
7.15,1.12,0.25,62.650000000000006,11.3,13.649999999999999,41.5,7.15
7.14,1.21,0.183,65.8,14.2,14.5,39.0,7.14
7.13,0.95,0.192,64.0,19.0,14.7,38.0,7.13
7.12,1.05,0.192,61.1,13.7,14.7,41.0,7.12
7.24,1.15,0.169,58.3,12.0,14.8,37.0,7.24
7.25,1.17,0.158,60.4,11.8,14.9,38.0,7.25
6.87,1.05,0.139,56.4,13.7,15.6,38.0,6.87
7.0600000000000005,1.07,0.14850000000000002,58.4,12.75,15.25,38.0,7.0600000000000005
7.03,1.44,0.16,62.6,12.2,15.0,37.0,7.03
7.05,1.36,0.148,59.9,12.0,15.3,37.0,7.05
6.97,1.41,0.14,63.6,11.2,14.7,32.0,6.97
7.08,1.32,0.173,65.8,11.4,14.6,31.0,7.08
7.2,1.18,0.161,65.9,12.3,14.9,36.0,7.2
7.25,1.16,0.165,63.2,12.9,16.4,34.0,7.25
7.225,0.91,0.163,64.55000000000001,12.600000000000001,15.649999999999999,35.0,7.225
7.28,1.08,0.194,67.4,12.4,17.5,34.0,7.28
7.22,1.35,0.186,67.0,12.1,17.6,35.0,7.22
7.25,1.48,0.19,67.2,12.25,17.55,34.5,7.25
7.2,1.41,0.175,67.1,13.9,18.2,36.0,7.2
7.16,1.37,0.514,59.4,13.3,17.9,36.0,7.16
7.18,1.23,0.34450000000000003,63.25,13.600000000000001,18.049999999999997,36.0,7.18
7.17,0.94,0.42925,61.325,13.450000000000001,17.974999999999998,36.0,7.17
7.04,1.34,0.297,61.5,13.7,19.3,34.0,7.04
7.61,1.64,0.109,48.9,8.2,19.2,38.0,7.61
6.878,1.7,0.123,48.1,8.4,19.3,37.0,6.878
6.99,1.63,0.191,46.2,8.0,19.6,36.0,6.99
6.83,1.56,0.462,51.6,6.2,19.5,43.0,6.83
7.06,1.72,0.408,51.2,7.2,18.9,44.0,7.06
6.945,1.73,0.435,51.400000000000006,6.7,19.2,43.5,6.945
7.29,1.72,0.174,54.0,7.3,20.4,39.0,7.29
7.7,1.52,0.291,52.0,9.4,19.3,39.0,7.7
7.22,1.67,0.174,46.4,8.6,18.0,43.0,7.22
7.06,1.71,0.152,46.6,7.3,18.3,45.0,7.06
7.9,1.58,0.215,54.6,9.3,18.0,41.0,7.9
7.11,1.71,0.634,48.8,8.5,18.4,30.0,7.11
7.505000000000001,1.63,0.4245,51.7,8.9,18.2,35.5,7.505000000000001
7.02,1.58,0.136,51.0,7.6,18.2,42.0,7.02
7.33,2.98,0.175,52.8,8.7,18.4,41.0,7.33
7.46,1.6,0.192,53.1,9.8,18.7,38.0,7.46
7.42,1.51,0.151,49.9,9.8,19.0,40.0,7.42
6.84,1.88,0.119,55.5,9.1,19.5,42.0,6.84
7.3,1.78,0.128,57.2,8.4,19.7,40.0,7.3
7.07,1.72,0.1235,56.35,8.75,19.6,41.0,7.07
7.24,1.65,0.157,52.8,8.8,18.6,36.0,7.24
7.18,1.46,0.161,51.9,8.4,18.6,50.0,7.18
7.28,1.33,0.156,51.9,8.6,19.3,39.0,7.28
7.15,1.57,0.17,50.6,8.5,19.1,36.0,7.15
7.31,1.77,0.27,55.6,8.4,18.3,44.0,7.31
7.25,1.7,0.147,56.8,8.45,18.7,39.0,7.25
7.279999999999999,1.63,0.20850000000000002,56.2,8.425,18.5,41.5,7.279999999999999
7.3,1.68,0.161,57.9,8.4375,19.3,40.0,7.3
7.06,1.74,0.175,54.6,8.43125,20.0,39.0,7.06
7.18,1.71,0.16799999999999998,56.25,8.434375,19.65,39.5,7.18
7.9,2.21,0.373,56.2,8.4328125,20.6,36.0,7.9
7.17,2.14,0.369,51.6,8.43359375,20.0,30.0,7.17
7.535,2.175,0.371,53.900000000000006,8.433203125,20.3,33.0,7.535
7.3525,2.41,0.37,52.75,8.4333984375,20.15,31.5,7.3525
6.54,1.94,0.616,52.2,8.43330078125,18.4,31.0,6.54
7.18,1.7,0.307,60.8,7.1,18.1,30.0,7.18
6.88,1.85,0.261,57.7,9.8,18.4,39.0,6.88
7.6,1.63,0.294,57.3,9.8,18.6,22.0,7.6
7.28,1.65,0.313,57.3,9.4,19.4,30.0,7.28
6.99,1.59,0.708,56.3,8.2,19.3,39.0,6.99
7.135,1.62,0.5105,56.8,8.8,19.35,34.5,7.135
7.88,1.42,0.344,57.3,9.8,18.8,36.0,7.88
7.53,1.27,0.225,55.3,8.2,18.6,38.0,7.53
7.62,1.66,0.165,56.0,8.7,18.9,34.0,7.62
7.35,1.77,0.186,59.9,9.2,19.1,30.0,7.35
6.88,1.74,0.413,59.6,9.1,18.5,43.0,6.88
7.04,1.81,0.435,62.2,8.9,19.0,41.0,7.04
6.96,1.65,0.424,60.900000000000006,9.0,18.75,42.0,6.96
7.11,1.61,0.534,58.0,10.5,19.5,50.0,7.11
7.6,1.65,0.398,62.6,9.4,18.9,38.0,7.6
7.67,1.74,0.437,67.2,11.1,17.8,41.0,7.67
7.62,1.71,0.263,67.4,10.7,17.7,36.0,7.62
7.45,1.59,0.33,60.7,10.8,16.7,33.0,7.45
6.61,1.74,0.439,58.8,9.3,16.6,24.0,6.61
7.03,1.665,0.3845,59.75,10.05,16.65,28.5,7.03
6.64,1.79,0.655,61.0,7.6,15.4,41.0,6.64
7.55,1.84,0.569,65.4,9.1,15.1,34.0,7.55
7.7,1.74,0.394,62.6,8.9,15.6,33.0,7.7
7.75,1.76,0.385,68.8,9.1,15.0,35.0,7.75
7.48,1.73,0.263,71.8,8.7,15.5,27.0,7.48
7.63,1.82,0.317,59.6,9.2,15.7,38.0,7.63
7.555,1.775,0.29000000000000004,65.7,8.95,15.6,32.5,7.555
7.11,1.8,0.342,68.3,9.8,14.8,35.0,7.11
7.09,1.65,0.53,68.8,10.6,14.2,46.0,7.09
7.48,1.41,1.126,58.0,10.0,13.9,54.0,7.48
7.02,1.66,1.089,61.0,8.2,14.2,68.0,7.02
7.52,1.59,0.558,63.8,8.4,13.0,53.0,7.52
7.07,1.5,0.77,59.8,8.6,13.2,51.0,7.07
7.295,1.7,0.664,61.8,8.5,13.1,52.0,7.295
7.1825,1.59,0.7170000000000001,60.8,8.55,13.149999999999999,51.5,7.1825
7.23875,1.81,0.6905000000000001,61.3,8.525,13.125,51.75,7.23875
7.07,1.65,0.588,63.6,8.2,12.8,46.0,7.07
6.61,1.49,0.343,65.0,9.9,13.1,53.0,6.61
6.94,1.4,0.464,69.0,10.3,13.3,48.0,6.94
7.57,1.51,0.316,60.3,10.2,14.2,51.0,7.57
7.255000000000001,1.455,0.39,64.65,10.25,13.75,49.5,7.255000000000001
6.45,1.33,0.729,70.8,7.5,14.5,54.0,6.45
7.02,1.35,0.294,59.8,8.6,14.2,54.0,7.02
6.91,1.56,0.226,60.8,9.5,13.8,49.0,6.91
7.12,1.71,0.34,54.9,9.8,13.5,53.0,7.12
7.74,1.64,0.378,57.8,9.9,13.7,50.0,7.74
7.17,1.63,0.387,62.4,9.0,13.3,54.0,7.17
7.16,1.58,0.393,48.4,9.3,11.8,39.0,7.16
7.165,1.605,0.39,55.4,9.15,12.55,46.5,7.165
7.18,1.61,0.435,54.1,10.1,11.7,42.0,7.18
7.37,1.55,0.474,54.2,9.4,11.8,50.0,7.37
7.18,1.59,0.355,54.7,9.7,11.8,51.0,7.18
7.14,1.68,0.412,54.4,7.3,11.1,43.0,7.14
7.06,1.51,0.411,53.8,5.6,10.9,53.0,7.06
7.1,1.595,0.4115,54.099999999999994,6.449999999999999,11.0,48.0,7.1
6.86,1.51,0.226,59.0,11.0,11.8,51.0,6.86
6.91,1.46,0.344,54.8,9.1,11.6,47.0,6.91
7.17,1.69,0.453,50.6,5.5,10.3,44.0,7.17
7.04,1.575,0.39849999999999997,52.7,7.3,10.95,45.5,7.04
7.0,1.55,0.469,55.3,7.8,10.3,42.0,7.0
7.15,1.66,0.338,59.8,8.2,10.8,41.0,7.15
7.075,1.605,0.40349999999999997,57.55,8.0,10.55,41.5,7.075
7.64,1.61,0.647,58.0,6.3,10.0,58.0,7.64
7.2,1.62,0.1694,57.0,9.2,9.4,46.0,7.2
7.22,1.67,0.36,56.8,9.7,9.2,53.0,7.22
6.8,1.52,0.364,56.4,10.7,8.9,46.0,6.8
7.16,1.78,0.375,54.4,9.7,10.0,54.0,7.16
7.33,1.61,0.625,56.8,9.9,10.1,58.0,7.33
7.245,1.695,0.5,55.599999999999994,9.8,10.05,56.0,7.245
7.75,1.5,0.317,68.9,9.6,9.1,42.0,7.75
7.34,1.86,0.52,57.0,8.0,8.8,43.0,7.34
7.26,1.56,0.628,60.4,7.2,9.1,47.0,7.26
7.41,2.14,0.593,57.5,7.6,9.2,46.0,7.41
7.54,1.47,0.756,54.6,4.4,8.8,45.0,7.54
7.5,1.63,0.382,58.4,8.5,8.1,74.0,7.5
7.52,1.36,0.569,56.5,6.45,8.45,59.5,7.52
7.13,1.45,0.494,63.2,7.9,10.2,58.0,7.13
7.46,1.41,0.724,67.4,8.7,10.4,57.0,7.46
7.02,1.47,0.631,63.6,5.6,9.7,46.0,7.02
6.95,1.46,0.482,61.6,7.1499999999999995,9.4,54.0,6.95
7.21,1.52,0.497,62.3,8.1,8.8,44.0,7.21
7.2,1.53,0.446,61.0,7.6,9.2,41.0,7.2
7.205,1.525,0.47150000000000003,61.65,7.85,9.0,42.5,7.205
7.202500000000001,1.09,0.819,48.0,7.725,9.0,53.0,7.202500000000001
7.12,1.62,0.337,47.6,6.7,7.7,44.0,7.12
6.77,1.86,0.447,58.1,8.2,7.8,43.0,6.77
7.24,1.81,0.451,58.2,8.8,8.1,44.0,7.24
7.02,1.77,0.463,58.4,8.3,7.8,49.0,7.02
7.01,1.79,0.669,56.8,8.1,7.9,48.0,7.01
7.015,1.78,0.5660000000000001,57.599999999999994,8.2,7.85,48.5,7.015
8.59,1.7850000000000001,0.415,50.8,9.9,6.0,45.0,8.59
7.2,1.7825000000000002,0.865,64.0,12.4,6.5,48.0,7.2
7.34,1.7837500000000002,0.876,50.8,7.9,5.6,38.0,7.34
7.54,1.783125,0.695,56.4,9.0,5.5,43.0,7.54
7.28,1.7834375000000002,1.003,59.8,5.8,5.5,40.0,7.28
6.64,1.7832812500000002,0.704,67.4,7.6,5.1,40.0,6.64
7.36,1.62,1.039,50.8,6.9,5.8,53.0,7.36
6.53,2.04,0.505,64.1,7.9,6.3,49.0,6.53
7.68,1.72,0.235,66.1,8.7,6.0,43.0,7.68
8.02,1.55,0.489,59.8,8.2,5.1,37.0,8.02
7.44,1.47,0.493,58.0,9.1,4.8,44.0,7.44
7.37,1.68,0.289,71.9,12.9,5.2,39.0,7.37
7.46,1.81,0.335,64.95,11.0,5.0,38.0,7.46
7.48,1.54,0.529,68.42500000000001,11.95,5.1,41.5,7.48
7.5,1.27,0.723,57.0,8.5,5.6,45.0,7.5
7.17,1.31,0.735,60.0,9.2,6.0,40.0,7.17
7.68,1.47,0.612,56.5,10.3,6.1,40.0,7.68
7.13,1.53,0.596,53.8,7.8,6.0,39.0,7.13
7.18,1.82,0.607,53.6,9.0,6.3,37.0,7.18
7.91,1.65,0.491,51.8,8.2,5.7,43.0,7.91
7.495,1.575,0.8015000000000001,52.65,8.25,5.25,41.5,7.495
7.08,1.5,1.112,53.5,8.3,4.8,40.0,7.08
7.26,1.46,0.475,55.8,9.6,4.8,40.0,7.26
7.13,1.54,0.625,54.8,9.9,5.4,42.0,7.13
7.01,1.47,0.612,54.6,8.1,5.3,39.0,7.01
7.76,1.31,0.723,49.6,8.4,5.2,40.0,7.76
7.88,1.49,0.519,50.2,8.1,5.5,37.0,7.88
1.43,1.4,0.6335,52.1,8.85,5.55,42.0,1.43
7.66,1.31,0.748,54.0,9.6,5.6,47.0,7.66
7.38,1.28,0.679,56.3,8.2,5.5,50.5,7.38
7.1,1.28,0.61,58.6,6.8,5.4,54.0,7.1
7.25,1.13,0.231,66.6,8.9,5.7,55.0,7.25
7.15,1.04,0.338,64.8,10.6,5.1,48.0,7.15
7.54,1.28,0.313,64.4,9.6,5.0,67.0,7.54
7.359999999999999,1.36,0.4525,62.5,8.85,5.0,70.5,7.359999999999999
7.18,1.15,0.592,60.6,8.1,5.0,74.0,7.18
7.27,1.37,0.276,62.8,8.7,5.1,71.0,7.27
6.55,1.58,0.52,62.6,7.9,4.6,71.0,6.55
7.2,1.57,0.268,68.2,8.2,4.7,74.0,7.2
7.15,1.66,0.286,66.2,9.1,4.4,69.0,7.15
7.73,1.65,0.277,66.2,9.9,4.4,61.0,7.73
7.43,1.415,0.392,64.65,9.850000000000001,4.15,55.0,7.43
7.13,1.18,0.507,63.1,9.8,3.9,49.0,7.13
7.29,1.26,0.386,59.2,7.7,4.4,36.0,7.29
7.17,1.3,0.437,65.0,9.6,4.1,47.0,7.17
6.69,1.71,0.392,63.6,8.8,4.1,53.0,6.69
6.95,1.55,0.216,68.4,8.1,4.4,50.0,6.95
8.02,1.45,0.276,66.4,10.1,4.1,44.0,8.02
8.08,1.79,0.30000000000000004,70.80000000000001,10.35,4.35,45.5,8.08
8.14,1.49,0.324,75.2,10.6,4.6,47.0,8.14
7.72,1.57,0.128,72.0,12.3,4.6,55.0,7.72
7.68,1.69,0.134,75.2,9.9,4.1,46.0,7.68
7.28,1.21,0.132,68.4,8.6,4.1,42.0,7.28
7.98,1.39,0.143,71.3,9.3,4.0,41.0,7.98
8.26,1.55,0.155,76.4,12.1,4.0,42.0,8.26
8.515,1.52,0.14750000000000002,78.5,10.95,4.95,40.0,8.515
8.77,1.5,0.14,80.6,9.8,5.9,38.0,8.77
7.72,1.54,0.171,69.0,8.9,3.7,43.0,7.72
8.29,1.31,0.197,78.8,13.3,4.0,41.0,8.29
8.62,1.48,0.159,73.2,12.8,4.3,41.0,8.62
8.51,1.32,0.475,74.3,9.0,4.2,31.0,8.51
7.62,1.67,1.087,92.2,6.9,4.4,34.0,7.62
8.075,1.6400000000000001,0.761,86.2,8.7,4.2,32.5,8.075
8.53,1.61,0.435,80.2,10.5,4.0,31.0,8.53
7.85,1.59,0.18,79.2,12.0,3.2,34.0,7.85
8.38,1.67,0.094,80.4,11.6,4.1,40.0,8.38
8.54,1.35,0.111,81.4,12.4,4.0,37.0,8.54
8.66,1.31,0.279,80.0,11.1,3.9,35.0,8.66
7.31,1.55,0.114,77.4,10.7,3.8,34.0,7.31
7.9399999999999995,1.53,0.121,81.35,11.399999999999999,3.9,35.0,7.9399999999999995
8.57,1.51,0.128,85.3,12.1,4.0,36.0,8.57
8.51,1.72,0.117,90.0,12.4,3.6,35.0,8.51
8.97,1.21,0.128,80.8,12.2,3.5,33.0,8.97
8.67,1.21,0.144,88.2,11.9,3.6,41.0,8.67
8.74,1.49,0.26,82.8,13.4,3.5,28.0,8.74
9.16,1.47,0.111,84.0,12.9,3.4,32.0,9.16
9.094999999999999,1.475,0.129,84.9,11.8,3.45,32.5,9.094999999999999
9.03,1.48,0.147,85.8,10.7,3.5,33.0,9.03
8.23,1.61,0.085,80.2,10.3,3.6,33.0,8.23
7.94,1.27,0.101,77.6,11.0,3.8,37.0,7.94
8.04,1.17,0.127,76.4,10.9,3.7,31.0,8.04
7.38,1.18,0.202,69.7,10.2,4.0,33.0,7.38
7.18,1.26,0.236,70.8,8.4,3.8,37.0,7.18
7.175,1.255,0.273,73.85,9.15,3.65,33.0,7.175
7.17,1.25,0.31,76.9,9.9,3.5,29.0,7.17
7.24,1.3,0.097,72.2,10.2,3.5,37.0,7.24
7.32,1.25,0.128,77.4,9.6,3.6,28.0,7.32
7.37,1.34,0.119,78.6,9.3,3.9,29.0,7.37
7.14,1.36,0.097,72.4,9.1,3.8,30.0,7.14
7.31,1.41,0.084,71.8,9.3,3.5,29.0,7.31
7.27,1.41,0.082,73.44999999999999,9.600000000000001,3.65,29.5,7.27
7.23,1.29,0.08,75.1,9.9,3.8,30.0,7.23
8.51,1.07,0.079,71.6,8.6,3.8,34.0,8.51
7.37,1.09,0.134,70.8,10.5,4.0,33.0,7.37
6.69,1.06,0.219,75.6,6.9,3.7,24.0,6.69
7.16,1.16,0.092,83.3,10.3,3.5,26.0,7.16
7.59,1.14,0.089,76.5,9.8,3.5,25.0,7.59
7.3149999999999995,1.09,0.1015,78.75,9.75,3.5,25.5,7.3149999999999995
7.04,1.19,0.114,81.0,9.7,3.5,26.0,7.04
8.03,1.15,0.089,83.0,10.4,3.8,30.0,8.03
7.86,0.99,0.111,73.1,10.6,3.7,31.0,7.86
7.5,0.88,0.149,78.8,10.4,3.4,27.0,7.5
7.25,0.94,0.096,88.8,8.9,4.1,28.0,7.25
7.41,0.84,0.152,81.8,8.4,4.1,30.0,7.41
7.355,0.905,0.1725,86.19999999999999,9.3,3.75,29.5,7.355
7.3,0.97,0.193,90.6,10.2,3.4,29.0,7.3
7.61,1.11,0.095,88.8,12.2,3.4,38.0,7.61
8.24,1.02,0.102,78.8,10.7,3.7,32.0,8.24
6.58,0.98,0.131,91.0,13.7,3.5,39.0,6.58
7.9,0.85,0.087,88.0,11.6,4.8,38.0,7.9
5.49,0.83,0.116,61.6,7.3,3.4,39.0,5.49
5.535,0.99,0.348,63.400000000000006,7.949999999999999,3.5999999999999996,42.0,5.535
5.58,0.91,0.58,65.2,8.6,3.8,45.0,5.58
7.27,0.72,0.22,80.6,8.9,4.5,44.0,7.27
5.61,1.12,0.482,64.4,8.4,3.4,44.0,5.61
8.08,1.13,0.127,88.8,11.7,3.4,37.0,8.08
8.6,1.12,0.14,85.9,13.9,3.7,43.0,8.6
8.18,1.24,0.122,83.7,13.6,3.6,41.0,8.18
7.925,1.28,0.14100000000000001,76.85,11.35,3.5,40.0,7.925
7.67,1.27,0.16,70.0,9.1,3.4,39.0,7.67
8.08,1.17,0.114,75.0,8.8,3.8,39.0,8.08
6.76,1.58,0.214,85.2,9.8,3.8,36.0,6.76
7.29,1.24,0.227,88.2,10.6,3.4,37.0,7.29
7.1,1.21,0.231,78.2,9.7,4.0,29.0,7.1
7.46,1.07,0.279,95.7,9.6,3.9,30.0,7.46
7.33,1.05,0.357,94.6,9.6,3.65,30.5,7.33
7.2,1.03,0.435,93.5,9.6,3.4,31.0,7.2
7.44,1.06,0.466,98.4,10.1,3.5,37.0,7.44
8.29,1.03,0.126,72.8,9.9,4.2,35.0,8.29
7.12,0.92,0.343,76.8,8.9,4.2,30.0,7.12
7.88,0.86,0.163,79.8,8.7,4.5,28.0,7.88
7.68,0.84,0.148,81.8,9.6,4.1,33.0,7.68
7.47,0.78,0.179,81.5,9.7,4.1,35.0,7.47
7.26,0.83,0.21,81.2,9.8,4.1,37.0,7.26
7.32,0.85,0.086,78.9,8.8,3.9,40.0,7.32
7.99,0.79,0.09,78.0,12.8,3.6,34.0,7.99
8.39,0.79,0.09,76.8,11.7,3.8,33.0,8.39
6.9,0.82,0.119,73.2,13.1,3.8,31.0,6.9
6.98,1.18,0.086,79.6,11.9,3.6,31.0,6.98
7.210000000000001,0.75,0.21150000000000002,77.1,10.25,3.6,37.0,7.210000000000001
7.44,0.88,0.337,74.6,8.6,3.6,43.0,7.44
7.24,0.72,0.086,79.6,9.1,3.7,44.0,7.24
